vaccinated1,vaccinated2,state,district,confirmed,deceased,recovered,tested,other
1225133.0,479630.0,UP,Siddharthnagar,9373.0,100.0,9273.0,295047.0,
2139996.0,497241.0,UP,Sitapur,12398.0,185.0,12211.0,289473.0,
812891.0,236871.0,UP,Sonbhadra,16807.0,251.0,16556.0,306175.0,
1178195.0,370998.0,UP,Sultanpur,14915.0,138.0,14777.0,309395.0,
1554190.0,420513.0,UP,Unnao,15011.0,254.0,14757.0,298886.0,
2109381.0,843905.0,UP,Varanasi,85501.0,971.0,84528.0,595510.0,
378242.0,215715.0,UT,Almora,12190.0,196.0,11378.0,84443.0,614.0
183447.0,131244.0,UT,Bageshwar,5764.0,60.0,5678.0,55626.0,25.0
273850.0,191420.0,UT,Chamoli,12242.0,62.0,11972.0,90390.0,204.0
183354.0,119870.0,UT,Champawat,7603.0,53.0,7358.0,95068.0,189.0
1465464.0,793803.0,UT,Dehradun,112363.0,3521.0,108137.0,401496.0,598.0
1456257.0,635360.0,UT,Haridwar,51498.0,1019.0,49096.0,369542.0,1376.0
722854.0,398680.0,UT,Nainital,39232.0,944.0,38140.0,204422.0,134.0
431320.0,229262.0,UT,Pauri Garhwal,17686.0,315.0,16668.0,138878.0,701.0
318644.0,183765.0,UT,Pithoragarh,10260.0,181.0,9962.0,72686.0,108.0
170911.0,113480.0,UT,Rudraprayag,8800.0,106.0,8535.0,52378.0,159.0
381493.0,206527.0,UT,Tehri Garhwal,15835.0,108.0,14827.0,105111.0,900.0
1277738.0,518326.0,UT,Udham Singh Nagar,37875.0,761.0,36315.0,337292.0,799.0
234425.0,160687.0,UT,Uttarkashi,12548.0,74.0,12129.0,120026.0,343.0
949775.0,353666.0,WB,Alipurduar,15589.0,102.0,15441.0,,
2245147.0,706177.0,WB,Bankura,36313.0,274.0,35839.0,,
2152966.0,846286.0,WB,Birbhum,41197.0,286.0,40727.0,,
1444232.0,421663.0,WB,Cooch Behar,29275.0,97.0,29060.0,,
1063493.0,363056.0,WB,Dakshin Dinajpur,17889.0,170.0,17573.0,,
1324555.0,664306.0,WB,Darjeeling,57143.0,539.0,56326.0,,
3368156.0,1343978.0,WB,Hooghly,86300.0,990.0,84650.0,,
2905925.0,1254076.0,WB,Howrah,98757.0,1524.0,96567.0,,
1144138.0,410719.0,WB,Jalpaiguri,41982.0,572.0,41256.0,,
714456.0,211586.0,WB,Jhargram,12135.0,27.0,12063.0,,
180713.0,124420.0,WB,Kalimpong,7036.0,54.0,6950.0,,
4784084.0,3039486.0,WB,Kolkata,322541.0,5152.0,315146.0,,
2029144.0,590497.0,WB,Malda,33406.0,186.0,33121.0,,
3952659.0,976111.0,WB,Murshidabad,33993.0,328.0,33605.0,,
2798942.0,884320.0,WB,Nadia,73333.0,859.0,72054.0,,
6547702.0,2720315.0,WB,North 24 Parganas,329257.0,4833.0,323097.0,,
,,WB,Other State,66.0,3.0,63.0,,
1789611.0,677747.0,WB,Paschim Bardhaman,57778.0,356.0,57184.0,,
2758576.0,877978.0,WB,Paschim Medinipur,53581.0,507.0,52820.0,,
2596246.0,859528.0,WB,Purba Bardhaman,42005.0,198.0,41588.0,,
3560589.0,1471674.0,WB,Purba Medinipur,63098.0,397.0,62549.0,,
1679941.0,492310.0,WB,Purulia,19419.0,113.0,19283.0,,
4850898.0,1832073.0,WB,South 24 Parganas,100957.0,1336.0,98950.0,,
1341457.0,436182.0,WB,Uttar Dinajpur,19858.0,238.0,19559.0,,
