state,district,vaccinated1,vaccinated2,confirmed,recovered,deceased,tested,other
CT,Bastar,10696.0,9616.0,24.0,2.0,,,
CT,Bijapur,1251.0,913.0,5.0,3.0,,,
CT,Bilaspur,18318.0,50320.0,17.0,8.0,2.0,,
CT,Dakshin Bastar Dantewada,2225.0,5410.0,6.0,2.0,,,
CT,Dhamtari,6188.0,7319.0,2.0,2.0,,,
CT,Durg,17012.0,22719.0,26.0,18.0,1.0,,
CT,Gariaband,9982.0,5872.0,1.0,,,,
CT,Gaurela Pendra Marwahi,4045.0,4587.0,1.0,,,,
CT,Janjgir Champa,45568.0,30991.0,19.0,8.0,1.0,,
CT,Jashpur,10933.0,13098.0,10.0,6.0,,,
CT,Kabeerdham,17511.0,17876.0,1.0,,,,
CT,Kondagaon,8359.0,7999.0,4.0,1.0,,,
CT,Korba,24033.0,24911.0,23.0,11.0,,,
CT,Koriya,15621.0,5751.0,6.0,,1.0,,
CT,Mahasamund,4416.0,72466.0,,1.0,,,
CT,Mungeli,15254.0,12880.0,1.0,2.0,,,
CT,Narayanpur,3057.0,1858.0,,1.0,,,
CT,Other State,,,4.0,3.0,,,
CT,Raigarh,5114.0,122838.0,8.0,8.0,,,
CT,Raipur,10441.0,40794.0,33.0,15.0,,,
CT,Rajnandgaon,15753.0,25270.0,5.0,3.0,,,
CT,Sukma,3208.0,5401.0,1.0,4.0,,,
CT,Surajpur,13506.0,13873.0,,,,,
CT,Surguja,29827.0,33226.0,2.0,,,,
CT,Uttar Bastar Kanker,17930.0,14621.0,3.0,1.0,,,
DL,Delhi,160323.0,269146.0,267.0,239.0,,395086.0,
DN,Dadra and Nagar Haveli,870.0,6759.0,,,,,
DN,Daman,1880.0,6793.0,,2.0,,,
DN,Diu,52.0,690.0,,,,,
GA,North Goa,4007.0,23958.0,,,,,
GA,South Goa,4401.0,22504.0,,,,,
GA,Unknown,,,222.0,409.0,6.0,,
GJ,Ahmedabad,47316.0,169891.0,22.0,14.0,,,
GJ,Amreli,5473.0,39398.0,,,,,
GJ,Anand,33012.0,46764.0,6.0,1.0,,,
GJ,Aravalli,1439.0,32201.0,,,,,
GJ,Banaskantha,16080.0,82985.0,,,,,
GJ,Bharuch,21270.0,45926.0,,,,,
GJ,Bhavnagar,19467.0,81374.0,1.0,,,,
GJ,Botad,929.0,14235.0,,,,,
GJ,Chhota Udaipur,699.0,19920.0,,,,,
GJ,Dahod,626.0,53547.0,,,,,
GJ,Dang,4140.0,3726.0,,,,,
GJ,Devbhumi Dwarka,4666.0,24924.0,,,,,
GJ,Gandhinagar,5475.0,36333.0,,,,,
GJ,Gir Somnath,8524.0,15341.0,2.0,2.0,,,
GJ,Jamnagar,9406.0,37158.0,5.0,3.0,,,
GJ,Junagadh,2660.0,71531.0,6.0,2.0,,,
GJ,Kheda,11668.0,73838.0,,1.0,,,
GJ,Kutch,8920.0,49662.0,5.0,1.0,,,
GJ,Mahisagar,62.0,16517.0,,,,,
GJ,Mehsana,7523.0,48550.0,,1.0,,,
GJ,Morbi,9950.0,20297.0,,,,,
GJ,Narmada,546.0,13890.0,,2.0,,,
GJ,Navsari,1852.0,29095.0,5.0,13.0,,,
GJ,Panchmahal,7294.0,44832.0,,,,,
GJ,Patan,3369.0,37745.0,,,,,
GJ,Porbandar,1140.0,13063.0,,,,,
GJ,Rajkot,17510.0,53546.0,7.0,7.0,,,
GJ,Sabarkantha,4232.0,45789.0,1.0,,,,
GJ,Surat,35083.0,115694.0,38.0,30.0,1.0,,
GJ,Surendranagar,18641.0,79795.0,,,,,
GJ,Tapi,3010.0,23409.0,,,,,
GJ,Vadodara,16527.0,182027.0,36.0,14.0,,,
GJ,Valsad,6616.0,36430.0,25.0,25.0,1.0,,
HP,Bilaspur,695.0,15071.0,133.0,77.0,,,
HP,Chamba,1439.0,18796.0,27.0,13.0,,,
HP,Hamirpur,713.0,26076.0,288.0,228.0,4.0,,
HP,Kangra,2399.0,39940.0,657.0,454.0,10.0,,
HP,Kinnaur,95.0,517.0,2.0,6.0,,,
HP,Kullu,889.0,9323.0,19.0,18.0,,,-1.0
HP,Lahaul and Spiti,30.0,412.0,,,,,
HP,Mandi,1156.0,26214.0,140.0,141.0,3.0,,
HP,Shimla,2224.0,37351.0,100.0,66.0,3.0,,
HP,Sirmaur,1388.0,22247.0,1.0,,,,
HP,Solan,1393.0,21242.0,25.0,27.0,,,
HP,Una,824.0,16782.0,145.0,124.0,,,
HR,Ambala,3021.0,25458.0,2.0,1.0,,,
HR,Bhiwani,6166.0,25664.0,,,,,
HR,Charkhi Dadri,941.0,11884.0,,2.0,,,
HR,Faridabad,17515.0,30156.0,18.0,7.0,,,
HR,Fatehabad,1800.0,7458.0,,,,,
HR,Gurugram,20221.0,48107.0,55.0,48.0,,,
HR,Hisar,5821.0,12364.0,2.0,,,,
HR,Jhajjar,8229.0,19599.0,1.0,,,,
HR,Jind,13366.0,21662.0,1.0,,,,
HR,Kaithal,4183.0,11836.0,,2.0,,,
HR,Karnal,8109.0,23328.0,1.0,,,,
HR,Kurukshetra,4064.0,9522.0,1.0,1.0,,,
HR,Mahendragarh,4857.0,10632.0,,,,,
HR,Nuh,10812.0,3789.0,,,,,
HR,Palwal,7558.0,9496.0,,,,,
HR,Panchkula,1786.0,10743.0,10.0,12.0,,,
HR,Panipat,7950.0,12888.0,1.0,,,,
HR,Rewari,2550.0,9877.0,,4.0,,,
HR,Rohtak,11409.0,17219.0,,1.0,,,
HR,Sirsa,4263.0,8228.0,3.0,2.0,,,
HR,Sonipat,9421.0,21065.0,,1.0,,,
HR,Yamunanagar,6471.0,16554.0,,6.0,,,
JH,Bokaro,27554.0,34375.0,15.0,13.0,,,
JH,Chatra,5946.0,11402.0,,,,,
JH,Deoghar,9801.0,19008.0,2.0,1.0,,,
JH,Dhanbad,33374.0,34095.0,24.0,13.0,,,
JH,Dumka,12679.0,22872.0,2.0,2.0,,,
JH,East Singhbhum,11994.0,29238.0,47.0,42.0,2.0,,
JH,Garhwa,17210.0,15386.0,6.0,7.0,,,
JH,Giridih,16994.0,29823.0,,,,,
